Country_Code,Country,Province_Code,Province,District_Code,District,Tehsil_Code,Tehsil
PK,Pakistan,PK1,Azad Kashmir,PK101,Bagh,PK10101,Bagh
PK,Pakistan,PK1,Azad Kashmir,PK101,Bagh,PK10102,Dhir Kot
PK,Pakistan,PK1,Azad Kashmir,PK101,Bagh,PK10103,Harighel
PK,Pakistan,PK1,Azad Kashmir,PK102,Bhimber,PK10201,Barnala
PK,Pakistan,PK1,Azad Kashmir,PK102,Bhimber,PK10202,Bhimber
PK,Pakistan,PK1,Azad Kashmir,PK102,Bhimber,PK10203,Samahni
PK,Pakistan,PK1,Azad Kashmir,PK103,Jhelum Valley,PK10301,Chikar
PK,Pakistan,PK1,Azad Kashmir,PK103,Jhelum Valley,PK10302,Hattian
PK,Pakistan,PK1,Azad Kashmir,PK103,Jhelum Valley,PK10303,Leepa
PK,Pakistan,PK1,Azad Kashmir,PK104,Haveli,PK10401,Haveli
PK,Pakistan,PK1,Azad Kashmir,PK104,Haveli,PK10402,Khurshid Abad
PK,Pakistan,PK1,Azad Kashmir,PK104,Haveli,PK10403,Mumtazabad
PK,Pakistan,PK1,Azad Kashmir,PK105,Kotli,PK10501,Charhoi
PK,Pakistan,PK1,Azad Kashmir,PK105,Kotli,PK10502,Dulliya Jattan
PK,Pakistan,PK1,Azad Kashmir,PK105,Kotli,PK10503,Fatehpur Thakiala
PK,Pakistan,PK1,Azad Kashmir,PK105,Kotli,PK10504,Khui Ratta
PK,Pakistan,PK1,Azad Kashmir,PK105,Kotli,PK10505,Kotli
PK,Pakistan,PK1,Azad Kashmir,PK105,Kotli,PK10506,Sehnsa
PK,Pakistan,PK1,Azad Kashmir,PK106,Mirpur,PK10601,Dadyal
PK,Pakistan,PK1,Azad Kashmir,PK106,Mirpur,PK10602,Mirpur
PK,Pakistan,PK1,Azad Kashmir,PK107,Muzaffarabad,PK10701,Muzaffarabad
PK,Pakistan,PK1,Azad Kashmir,PK107,Muzaffarabad,PK10702,Naseerabad
PK,Pakistan,PK1,Azad Kashmir,PK108,Neelum,PK10801,Athmuqam
PK,Pakistan,PK1,Azad Kashmir,PK108,Neelum,PK10802,Sharda
PK,Pakistan,PK1,Azad Kashmir,PK109,Poonch,PK10901,Abbaspur
PK,Pakistan,PK1,Azad Kashmir,PK109,Poonch,PK10902,Hajira
PK,Pakistan,PK1,Azad Kashmir,PK109,Poonch,PK10903,Rawalakot
PK,Pakistan,PK1,Azad Kashmir,PK109,Poonch,PK10904,Thorar
PK,Pakistan,PK1,Azad Kashmir,PK110,Sudhnoti,PK11001,Baluch
PK,Pakistan,PK1,Azad Kashmir,PK110,Sudhnoti,PK11002,Mong
PK,Pakistan,PK1,Azad Kashmir,PK110,Sudhnoti,PK11003,Pallandari
PK,Pakistan,PK1,Azad Kashmir,PK110,Sudhnoti,PK11004,Tarar Khal
PK,Pakistan,PK2,Balochistan,PK201,Awaran,PK20101,Awaran
PK,Pakistan,PK2,Balochistan,PK201,Awaran,PK20102,Jhal Jhao
PK,Pakistan,PK2,Balochistan,PK201,Awaran,PK20103,Mashkai
PK,Pakistan,PK2,Balochistan,PK201,Awaran,PK20104,Gishekore
PK,Pakistan,PK2,Balochistan,PK202,Barkhan,PK20201,Barkhan
PK,Pakistan,PK2,Balochistan,PK202,Barkhan,PK20202,Rakhni
PK,Pakistan,PK2,Balochistan,PK203,Chagai,PK20301,Dalbandin
PK,Pakistan,PK2,Balochistan,PK203,Chagai,PK20302,Nokkundi
PK,Pakistan,PK2,Balochistan,PK203,Chagai,PK20303,Taftan
PK,Pakistan,PK2,Balochistan,PK203,Chagai,PK20304,Chagai
PK,Pakistan,PK2,Balochistan,PK204,Dera Bugti,PK20401,Dera Bugti
PK,Pakistan,PK2,Balochistan,PK204,Dera Bugti,PK20402,Phelawagh
PK,Pakistan,PK2,Balochistan,PK204,Dera Bugti,PK20403,Sui
PK,Pakistan,PK2,Balochistan,PK205,Gwadar,PK20501,Gwadar
PK,Pakistan,PK2,Balochistan,PK205,Gwadar,PK20502,Jiwani
PK,Pakistan,PK2,Balochistan,PK205,Gwadar,PK20503,Ormara
PK,Pakistan,PK2,Balochistan,PK205,Gwadar,PK20504,Pasni
PK,Pakistan,PK2,Balochistan,PK205,Gwadar,PK20505,Sunster
PK,Pakistan,PK2,Balochistan,PK206,Harnai,PK20601,Harnai
PK,Pakistan,PK2,Balochistan,PK206,Harnai,PK20602,Shahrigh
PK,Pakistan,PK2,Balochistan,PK207,Jaffarabad,PK20701,Gandakha
PK,Pakistan,PK2,Balochistan,PK207,Jaffarabad,PK20702,Jhat Pat
PK,Pakistan,PK2,Balochistan,PK207,Jaffarabad,PK20703,Usta Mohammad
PK,Pakistan,PK2,Balochistan,PK208,Jhal Magsi,PK20801,Gandawa
PK,Pakistan,PK2,Balochistan,PK208,Jhal Magsi,PK20802,Jhal Magsi
PK,Pakistan,PK2,Balochistan,PK209,Kachhi,PK20901,Dhadar
PK,Pakistan,PK2,Balochistan,PK209,Kachhi,PK20902,Mach
PK,Pakistan,PK2,Balochistan,PK209,Kachhi,PK20903,Sanni
PK,Pakistan,PK2,Balochistan,PK209,Kachhi,PK20904,Balanari
PK,Pakistan,PK2,Balochistan,PK209,Kachhi,PK20905,Khattan
PK,Pakistan,PK2,Balochistan,PK210,Kalat,PK21001,Kalat
PK,Pakistan,PK2,Balochistan,PK210,Kalat,PK21002,Khaliqabad
PK,Pakistan,PK2,Balochistan,PK211,Kech,PK21101,Buleda
PK,Pakistan,PK2,Balochistan,PK211,Kech,PK21102,Dasht
PK,Pakistan,PK2,Balochistan,PK211,Kech,PK21103,Kech (Turbat)
PK,Pakistan,PK2,Balochistan,PK211,Kech,PK21104,Mand
PK,Pakistan,PK2,Balochistan,PK211,Kech,PK21105,Tump
PK,Pakistan,PK2,Balochistan,PK212,Kharan,PK21201,Kharan
PK,Pakistan,PK2,Balochistan,PK212,Kharan,PK21202,Sar Kharan
PK,Pakistan,PK2,Balochistan,PK212,Kharan,PK21203,Tomulk
PK,Pakistan,PK2,Balochistan,PK213,Khuzdar,PK21301,Khuzdar
PK,Pakistan,PK2,Balochistan,PK213,Khuzdar,PK21302,Mola
PK,Pakistan,PK2,Balochistan,PK213,Khuzdar,PK21303,Naal
PK,Pakistan,PK2,Balochistan,PK213,Khuzdar,PK21304,Wadh
PK,Pakistan,PK2,Balochistan,PK213,Khuzdar,PK21305,Zehri
PK,Pakistan,PK2,Balochistan,PK214,Killa Abdullah,PK21402,Dobandi
PK,Pakistan,PK2,Balochistan,PK214,Killa Abdullah,PK21403,Gulistan
PK,Pakistan,PK2,Balochistan,PK214,Killa Abdullah,PK21404,Killa Abdullah
PK,Pakistan,PK2,Balochistan,PK215,Killa Saifullah,PK21501,Killa Saifullah
PK,Pakistan,PK2,Balochistan,PK215,Killa Saifullah,PK21502,Muslim Bagh
PK,Pakistan,PK2,Balochistan,PK216,Kohlu,PK21601,Kahan
PK,Pakistan,PK2,Balochistan,PK216,Kohlu,PK21602,Kohlu
PK,Pakistan,PK2,Balochistan,PK216,Kohlu,PK21603,Mawand
PK,Pakistan,PK2,Balochistan,PK217,Lasbela,PK21701,Bela
PK,Pakistan,PK2,Balochistan,PK217,Lasbela,PK21702,Dureji
PK,Pakistan,PK2,Balochistan,PK217,Lasbela,PK21703,Gaddani
PK,Pakistan,PK2,Balochistan,PK217,Lasbela,PK21704,Hub
PK,Pakistan,PK2,Balochistan,PK217,Lasbela,PK21705,Kanraj
PK,Pakistan,PK2,Balochistan,PK217,Lasbela,PK21706,Sonmiani
PK,Pakistan,PK2,Balochistan,PK217,Lasbela,PK21707,Uthal
PK,Pakistan,PK2,Balochistan,PK217,Lasbela,PK21708,Lakhra
PK,Pakistan,PK2,Balochistan,PK217,Lasbela,PK21709,Lairi
